YOB,Name,mFrequency,fFrequency,mForF
1910,James,673,6,112.167
1910,Willie,561,275,2.04
1910,John,557,7,79.571
1910,George,272,7,38.857
1910,Henry,233,5,46.6
1910,Charlie,207,17,12.176
1910,Eddie,94,20,4.7
1910,Johnnie,87,62,1.403
1910,Jessie,71,124,0.573
1910,Lee,51,9,5.667
1910,Otis,45,6,7.5
1910,Clifford,37,11,3.364
1910,Jimmie,34,26,1.308
1910,Clyde,29,11,2.636
1910,Lonnie,27,5,5.4
1910,Johnie,26,8,3.25
1910,Marion,26,23,1.13
1910,Cecil,23,8,2.875
1910,Curtis,20,6,3.333
1910,Ira,19,9,2.111
1910,Tommie,15,13,1.154
1910,Bennie,14,8,1.75
1910,Elmer,10,6,1.667
1910,Ollie,10,37,0.27
1910,Louie,9,5,1.8
1910,Francis,8,12,0.667
1910,Odell,7,5,1.4
1910,Annie,6,553,0.011
1911,Willie,469,284,1.651
1911,Charlie,173,13,13.308
1911,Johnnie,87,55,1.582
1911,Eddie,79,30,2.633
1911,Jessie,63,132,0.477
1911,Lee,44,8,5.5
1911,Lonnie,42,7,6.0
1911,Clyde,40,14,2.857
1911,Clifford,37,12,3.083
1911,Jimmie,31,24,1.292
1911,Marion,30,19,1.579
1911,Tommie,30,15,2.0
1911,Bennie,23,7,3.286
1911,Jerry,21,5,4.2
1911,Ira,20,9,2.222
1911,Johnie,20,10,2.0
1911,Francis,11,16,0.688
1911,Ollie,7,46,0.152
1911,Cleo,6,36,0.167
1911,Odell,6,8,0.75
1911,Bonnie,5,21,0.238
1911,Essie,5,107,0.047
1911,Mary,5,893,0.006
1912,John,883,6,147.167
1912,Willie,619,402,1.54
1912,Charlie,251,22,11.409
1912,Johnnie,138,56,2.464
1912,Eddie,114,27,4.222
1912,Clifford,73,13,5.615
1912,Clyde,73,10,7.3
1912,Jessie,72,162,0.444
1912,Lee,58,14,4.143
1912,Marion,47,32,1.469
1912,Lonnie,42,5,8.4
1912,Tommie,42,27,1.556
1912,Jimmie,41,22,1.864
1912,Johnie,39,16,2.438
1912,Bennie,29,10,2.9
1912,Ira,22,9,2.444
1912,Perry,20,6,3.333
1912,Francis,16,20,0.8
1912,Freddie,16,11,1.455
1912,Louie,16,5,3.2
1912,Odell,14,6,2.333
1912,Sammie,11,8,1.375
1912,Jewell,10,74,0.135
1912,Ollie,10,62,0.161
1912,Cleo,7,31,0.226
1912,Ossie,6,13,0.462
1912,Robbie,6,15,0.4
1912,Frances,5,206,0.024
1912,Ozie,5,12,0.417
1913,James,1248,6,208.0
1913,John,1042,6,173.667
1913,Willie,686,378,1.815
1913,Charlie,275,17,16.176
1913,Joe,174,8,21.75
1913,Eddie,134,32,4.188
1913,Johnnie,110,65,1.692
1913,Jessie,82,174,0.471
1913,Lee,76,13,5.846
1913,Clyde,73,15,4.867
1913,Clifford,69,9,7.667
1913,Jimmie,69,25,2.76
1913,Lonnie,44,9,4.889
1913,Marion,44,40,1.1
1913,Cecil,43,7,6.143
1913,Johnie,39,11,3.545
1913,Bennie,37,11,3.364
1913,Tommie,33,28,1.179
1913,Ira,29,7,4.143
1913,Francis,16,18,0.889
1913,Freddie,16,11,1.455
1913,Ollie,15,65,0.231
1913,Sammie,15,5,3.0
1913,Cleo,11,45,0.244
1913,Odell,10,7,1.429
1913,Alva,7,8,0.875
1913,Bonnie,7,32,0.219
1913,Jewell,7,56,0.125
1913,Ruby,7,399,0.018
1913,Bobbie,6,13,0.462
1913,Jewel,6,31,0.194
1913,Mary,6,1223,0.005
1913,Billie,5,14,0.357
1913,Ossie,5,25,0.2
1914,James,1556,7,222.286
1914,Willie,840,480,1.75
1914,Henry,438,5,87.6
1914,Thomas,395,5,79.0
1914,Charles,392,6,65.333
1914,Charlie,334,27,12.37
1914,Joe,252,6,42.0
1914,Eddie,143,35,4.086
1914,Johnnie,143,85,1.682
1914,Jessie,99,225,0.44
1914,Clyde,86,25,3.44
1914,Clifford,80,14,5.714
1914,Marion,75,46,1.63
1914,Lee,72,13,5.538
1914,Jimmie,68,29,2.345
1914,Lonnie,66,8,8.25
1914,Bennie,63,17,3.706
1914,Tommie,52,34,1.529
1914,Cecil,48,11,4.364
1914,Willard,38,5,7.6
1914,Freddie,31,15,2.067
1914,Johnie,30,13,2.308
1914,Francis,24,27,0.889
1914,Sammie,24,6,4.0
1914,Theo,18,6,3.0
1914,Odell,16,11,1.455
1914,Ollie,14,70,0.2
1914,Cleo,12,54,0.222
1914,Bobbie,9,19,0.474
1914,Bonnie,9,51,0.176
1914,Alva,8,7,1.143
1914,Bernice,8,94,0.085
1914,June,8,11,0.727
1914,Billie,7,13,0.538
1914,Jewell,7,58,0.121
1914,Adell,6,13,0.462
1914,Elzie,6,5,1.2
1914,Leslie,6,5,1.2
1914,Lillian,6,209,0.029
1914,Lois,6,199,0.03
1914,Artie,5,8,0.625
1914,Florence,5,100,0.05
1914,Ruby,5,491,0.01
1915,James,1825,10,182.5
1915,John,1471,10,147.1
1915,William,1248,6,208.0
1915,Willie,959,512,1.873
1915,Robert,896,5,179.2
1915,George,638,9,70.889
1915,Charles,482,5,96.4
1915,Charlie,375,34,11.029
1915,Joe,254,6,42.333
1915,Johnnie,158,91,1.736
1915,Eddie,148,51,2.902
1915,Jessie,123,253,0.486
1915,Clifford,121,15,8.067
1915,Cecil,90,5,18.0
1915,Lee,90,15,6.0
1915,Jimmie,84,41,2.049
1915,Clyde,81,27,3.0
1915,Marion,81,53,1.528
1915,Curtis,75,8,9.375
1915,Bennie,72,20,3.6
1915,Lonnie,64,7,9.143
1915,Tommie,61,41,1.488
1915,Francis,42,31,1.355
1915,Johnie,42,14,3.0
1915,Ira,40,8,5.0
1915,Freddie,25,19,1.316
1915,Odell,22,11,2.0
1915,Louie,21,6,3.5
1915,Ollie,20,79,0.253
1915,Cleo,17,44,0.386
1915,Leslie,13,8,1.625
1915,Theo,13,9,1.444
1915,Bobbie,11,24,0.458
1915,Mary,11,1683,0.007
1915,Ruby,10,542,0.018
1915,Ellie,8,11,0.727
1915,Jewel,8,58,0.138
1915,Jonnie,8,7,1.143
1915,Robbie,8,19,0.421
1915,Alva,7,9,0.778
1915,Bernice,7,103,0.068
1915,Billie,7,17,0.412
1915,Jewell,7,73,0.096
1915,Otha,7,5,1.4
1915,Annie,6,862,0.007
1915,Bonnie,6,52,0.115
1915,Connie,6,18,0.333
1915,Lois,6,204,0.029
1915,Eunice,5,114,0.044
1915,Love,5,5,1.0
1916,James,2120,10,212.0
1916,John,1541,12,128.417
1916,William,1338,5,267.6
1916,Willie,987,554,1.782
1916,Robert,920,9,102.222
1916,George,686,6,114.333
1916,Henry,489,11,44.455
1916,Charlie,414,35,11.829
1916,Joe,291,8,36.375
1916,Clarence,203,5,40.6
1916,Johnnie,168,122,1.377
1916,Eddie,162,52,3.115
1916,Eugene,156,8,19.5
1916,Jessie,125,213,0.587
1916,Otis,115,5,23.0
1916,Clyde,113,30,3.767
1916,Clifford,111,18,6.167
1916,Cecil,105,11,9.545
1916,Lee,100,18,5.556
1916,Curtis,96,7,13.714
1916,Jimmie,83,56,1.482
1916,Bennie,80,15,5.333
1916,Marion,73,62,1.177
1916,Tommie,62,48,1.292
1916,Lonnie,61,8,7.625
1916,Johnie,54,19,2.842
1916,Ira,48,13,3.692
1916,Francis,42,32,1.312
1916,Freddie,38,17,2.235
1916,Sammie,21,8,2.625
1916,Maurice,20,8,2.5
1916,Ollie,18,84,0.214
1916,Cleo,15,76,0.197
1916,Odell,14,17,0.824
1916,Bonnie,12,73,0.164
1916,Jewell,12,71,0.169
1916,Alva,11,5,2.2
1916,Bobbie,10,28,0.357
1916,Dallas,10,5,2.0
1916,Leslie,10,10,1.0
1916,Billie,9,25,0.36
1916,Theo,9,5,1.8
1916,Mary,8,1948,0.004
1916,Ossie,8,15,0.533
1916,Bernice,7,117,0.06
1916,Dorris,7,9,0.778
1916,Jonnie,7,10,0.7
1916,Ellie,5,11,0.455
1916,Eunice,5,129,0.039
1916,Fannie,5,222,0.023
1916,Gennie,5,8,0.625
1916,Ocie,5,18,0.278
1916,Vernie,5,7,0.714
1917,James,2083,13,160.231
1917,John,1556,11,141.455
1917,William,1404,7,200.571
1917,Willie,1029,523,1.967
1917,Robert,996,9,110.667
1917,George,727,13,55.923
1917,Henry,538,6,89.667
1917,Charlie,404,37,10.919
1917,Walter,359,11,32.636
1917,Jack,237,5,47.4
1917,Johnnie,183,116,1.578
1917,Eddie,160,41,3.902
1917,Jessie,147,234,0.628
1917,Clifford,104,21,4.952
1917,Clyde,103,42,2.452
1917,Marion,95,78,1.218
1917,Cecil,89,12,7.417
1917,Jimmie,89,52,1.712
1917,Lee,89,15,5.933
1917,Lonnie,81,8,10.125
1917,Bennie,70,15,4.667
1917,Tommie,63,40,1.575
1917,Johnie,54,11,4.909
1917,Ira,43,11,3.909
1917,Sidney,43,5,8.6
1917,Francis,41,27,1.519
1917,Chester,38,6,6.333
1917,Freddie,33,18,1.833
1917,Odell,20,14,1.429
1917,Cleo,18,60,0.3
1917,Ollie,18,97,0.186
1917,Sammie,17,13,1.308
1917,Billie,16,27,0.593
1917,Leslie,15,12,1.25
1917,Alva,14,16,0.875
1917,Bobbie,9,24,0.375
1917,Bonnie,9,67,0.134
1917,Claudie,9,23,0.391
1917,Jonnie,8,6,1.333
1917,Ozie,8,9,0.889
1917,Annie,7,928,0.008
1917,Bernice,6,116,0.052
1917,Jewell,6,76,0.079
1917,Mary,6,2025,0.003
1917,Allie,5,30,0.167
1917,Hazel,5,209,0.024
1917,Jean,5,41,0.122
1917,June,5,15,0.333
1918,James,2281,13,175.462
1918,John,1701,5,340.2
1918,Willie,1116,572,1.951
1918,Robert,1086,7,155.143
1918,George,762,6,127.0
1918,Charles,579,9,64.333
1918,Henry,515,10,51.5
1918,Charlie,447,46,9.717
1918,Walter,347,7,49.571
1918,Joe,326,6,54.333
1918,Arthur,213,6,35.5
1918,Eddie,202,45,4.489
1918,Johnnie,194,161,1.205
1918,Eugene,151,5,30.2
1918,Jessie,129,282,0.457
1918,Clifford,123,8,15.375
1918,Jimmie,119,60,1.983
1918,Lee,113,24,4.708
1918,Clyde,110,28,3.929
1918,Cecil,98,19,5.158
1918,Bennie,93,29,3.207
1918,Lonnie,91,9,10.111
1918,Marion,91,93,0.978
1918,Curtis,88,5,17.6
1918,Johnie,76,22,3.455
1918,Johnny,72,5,14.4
1918,Tommie,66,53,1.245
1918,Ray,61,6,10.167
1918,Will,52,5,10.4
1918,Jerry,48,7,6.857
1918,Ira,47,11,4.273
1918,Freddie,45,20,2.25
1918,Francis,39,35,1.114
1918,Sammie,30,8,3.75
1918,Leo,27,8,3.375
1918,Louie,23,5,4.6
1918,Ollie,23,91,0.253
1918,Elzie,17,5,3.4
1918,Cleo,16,58,0.276
1918,Odell,16,11,1.455
1918,Billie,15,28,0.536
1918,Bobbie,15,22,0.682
1918,Jonnie,14,16,0.875
1918,Bonnie,13,51,0.255
1918,Leslie,12,5,2.4
1918,Jewell,11,100,0.11
1918,Alva,10,11,0.909
1918,Annie,9,1017,0.009
1918,June,9,32,0.281
1918,Shirley,9,20,0.45
1918,Jewel,8,63,0.127
1918,Bernice,7,143,0.049
1918,Doris,7,211,0.033
1918,Mary,7,2203,0.003
1918,Ossie,7,28,0.25
1918,Robbie,7,25,0.28
1918,Claudie,6,28,0.214
1918,Ozie,6,5,1.2
1918,Ruby,6,653,0.009
1918,Carol,5,10,0.5
1918,Connie,5,19,0.263
1918,Delma,5,5,1.0
1918,Louise,5,522,0.01
1918,Marian,5,57,0.088
1918,Mattie,5,437,0.011
1919,James,2499,12,208.25
1919,John,1844,13,141.846
1919,William,1638,7,234.0
1919,Willie,1218,647,1.883
1919,Robert,1111,12,92.583
1919,George,809,10,80.9
1919,Henry,560,14,40.0
1919,Charlie,503,57,8.825
1919,Walter,401,5,80.2
1919,Joe,296,10,29.6
1919,Johnnie,237,126,1.881
1919,Eddie,216,54,4.0
1919,Richard,190,5,38.0
1919,Jesse,146,5,29.2
1919,Jessie,142,262,0.542
1919,Jimmie,134,59,2.271
1919,Clifford,128,10,12.8
1919,Clyde,117,31,3.774
1919,Bennie,112,21,5.333
1919,Curtis,110,10,11.0
1919,Lee,107,19,5.632
1919,Cecil,106,9,11.778
1919,Marion,88,67,1.313
1919,Tommie,83,42,1.976
1919,Lonnie,76,16,4.75
1919,Freddie,58,24,2.417
1919,Johnie,56,21,2.667
1919,Vernon,56,6,9.333
1919,Johnny,54,6,9.0
1919,Ira,47,9,5.222
1919,Sidney,46,7,6.571
1919,Francis,35,31,1.129
1919,Perry,33,5,6.6
1919,Sammie,32,14,2.286
1919,Jerry,30,10,3.0
1919,Ollie,26,110,0.236
1919,Billie,23,33,0.697
1919,Odell,20,14,1.429
1919,Cleo,16,56,0.286
1919,Leslie,16,5,3.2
1919,Jewell,15,97,0.155
1919,Bobbie,13,38,0.342
1919,Jonnie,11,10,1.1
1919,Bernice,10,180,0.056
1919,Jewel,9,61,0.148
1919,Claudie,8,23,0.348
1919,Dallas,8,6,1.333
1919,Essie,8,198,0.04
1919,Mary,8,2386,0.003
1919,Ossie,8,34,0.235
1919,Eunice,7,128,0.055
1919,Alva,6,8,0.75
1919,Bonnie,6,74,0.081
1919,Doris,6,272,0.022
1919,Dorris,6,10,0.6
1919,Theo,6,6,1.0
1919,Artie,5,9,0.556
1919,Donnie,5,11,0.455
1919,Ester,5,8,0.625
1919,Eula,5,166,0.03
1919,Farris,5,5,1.0
1919,Robbie,5,27,0.185
1919,Thelma,5,364,0.014
1919,Vester,5,6,0.833
1920,James,2750,14,196.429
1920,John,1819,23,79.087
1920,William,1743,9,193.667
1920,Robert,1290,5,258.0
1920,Willie,1185,623,1.902
1920,George,866,9,96.222
1920,Thomas,676,7,96.571
1920,Charles,675,6,112.5
1920,Charlie,478,46,10.391
1920,Johnnie,209,108,1.935
1920,Eddie,202,49,4.122
1920,Eugene,182,6,30.333
1920,Jessie,153,249,0.614
1920,Carl,151,6,25.167
1920,Clyde,145,26,5.577
1920,Clifford,141,17,8.294
1920,Cecil,130,5,26.0
1920,Jimmie,117,45,2.6
1920,Lee,117,23,5.087
1920,Marion,115,90,1.278
1920,Bennie,107,18,5.944
1920,Curtis,106,8,13.25
1920,Lonnie,72,12,6.0
1920,Tommie,67,55,1.218
1920,Johnie,59,14,4.214
1920,Ira,53,6,8.833
1920,Freddie,45,20,2.25
1920,Vernon,45,6,7.5
1920,Francis,42,34,1.235
1920,Jerry,42,11,3.818
1920,Sammie,39,5,7.8
1920,Billie,22,24,0.917
1920,Leslie,22,7,3.143
1920,Maurice,20,9,2.222
1920,Cleo,17,50,0.34
1920,Ollie,16,100,0.16
1920,Bobbie,15,33,0.455
1920,Odell,12,15,0.8
1920,Jewell,11,104,0.106
1920,Theo,11,5,2.2
1920,Doris,10,316,0.032
1920,Bernice,9,126,0.071
1920,Bonnie,9,84,0.107
1920,Burnice,9,5,1.8
1920,Louise,8,616,0.013
1920,Alva,7,12,0.583
1920,Claudie,7,23,0.304
1920,Dessie,7,29,0.241
1920,Frances,7,590,0.012
1920,Jewel,7,57,0.123
1920,Jonnie,7,12,0.583
1920,Mary,7,2538,0.003
1920,Ocie,7,9,0.778
1920,Thelma,7,295,0.024
1920,Annie,6,1048,0.006
1920,Artie,6,6,1.0
1920,Bobby,6,6,1.0
1920,Frankie,6,44,0.136
1920,Adell,5,18,0.278
1920,Donnie,5,13,0.385
1920,Gussie,5,65,0.077
1920,Jamie,5,10,0.5
1920,June,5,23,0.217
1920,Ossie,5,29,0.172
1921,James,2619,15,174.6
1921,John,1802,16,112.625
1921,William,1705,5,341.0
1921,Robert,1215,8,151.875
1921,Willie,1103,554,1.991
1921,George,799,10,79.9
1921,Charles,723,11,65.727
1921,Henry,602,10,60.2
1921,Charlie,455,34,13.382
1921,Jack,298,5,59.6
1921,Roy,280,5,56.0
1921,Johnnie,212,134,1.582
1921,Eddie,202,57,3.544
1921,Eugene,202,6,33.667
1921,Jesse,153,5,30.6
1921,Jessie,146,234,0.624
1921,Cecil,139,7,19.857
1921,Jimmie,124,53,2.34
1921,Lee,123,25,4.92
1921,Clifford,115,13,8.846
1921,Marion,113,99,1.141
1921,Curtis,108,10,10.8
1921,Clyde,102,18,5.667
1921,Bennie,86,20,4.3
1921,Melvin,71,5,14.2
1921,Tommie,70,44,1.591
1921,Lonnie,69,10,6.9
1921,Johnny,65,6,10.833
1921,Johnie,53,19,2.789
1921,Freddie,50,12,4.167
1921,Ira,41,7,5.857
1921,Jerry,39,5,7.8
1921,Francis,38,30,1.267
1921,Louie,25,6,4.167
1921,Billie,24,33,0.727
1921,Ollie,20,93,0.215
1921,Odell,18,18,1.0
1921,Cleo,15,49,0.306
1921,Dallas,14,8,1.75
1921,Bonnie,13,58,0.224
1921,Jonnie,12,8,1.5
1921,Bobbie,11,18,0.611
1921,Bernice,10,168,0.06
1921,Ivy,9,5,1.8
1921,Jean,8,71,0.113
1921,Jewell,8,75,0.107
1921,Mary,8,2474,0.003
1921,Alva,7,13,0.538
1921,Annie,7,1005,0.007
1921,Artie,7,15,0.467
1921,Adell,6,19,0.316
1921,Allie,6,31,0.194
1921,Jewel,6,56,0.107
1921,Robbie,6,32,0.188
1921,Rossie,6,9,0.667
1921,Beverly,5,10,0.5
1921,Dorothy,5,882,0.006
1921,June,5,25,0.2
1921,Mattie,5,477,0.01
1921,Ossie,5,25,0.2
1921,Ruby,5,610,0.008
1922,James,2572,12,214.333
1922,John,1724,12,143.667
1922,William,1660,7,237.143
1922,Robert,1230,10,123.0
1922,Willie,1181,566,2.087
1922,George,803,8,100.375
1922,Charles,720,8,90.0
1922,Henry,537,6,89.5
1922,Charlie,427,56,7.625
1922,Walter,406,6,67.667
1922,Harold,227,6,37.833
1922,Eddie,222,58,3.828
1922,Johnnie,198,140,1.414
1922,Jessie,154,242,0.636
1922,Clifford,141,17,8.294
1922,Jimmie,130,47,2.766
1922,Cecil,122,9,13.556
1922,Clyde,119,24,4.958
1922,Marion,109,94,1.16
1922,Lee,99,26,3.808
1922,Bennie,87,14,6.214
1922,Tommie,70,57,1.228
1922,Johnie,67,20,3.35
1922,Lonnie,65,18,3.611
1922,Billy,53,5,10.6
1922,Freddie,51,22,2.318
1922,Elmer,44,8,5.5
1922,Jerry,40,11,3.636
1922,Francis,36,29,1.241
1922,Ira,31,10,3.1
1922,Sammie,30,10,3.0
1922,Ollie,21,93,0.226
1922,Billie,20,34,0.588
1922,Bobbie,20,27,0.741
1922,Leslie,16,5,3.2
1922,Odell,16,17,0.941
1922,Cleo,14,50,0.28
1922,Alva,13,8,1.625
1922,Jonnie,12,15,0.8
1922,Mary,11,2614,0.004
1922,Theo,11,7,1.571
1922,Bernice,10,175,0.057
1922,Carol,10,16,0.625
1922,Bonnie,9,55,0.164
1922,Doris,9,418,0.022
1922,Jamie,9,7,1.286
1922,June,9,30,0.3
1922,Dessie,8,19,0.421
1922,Jewell,8,95,0.084
1922,Hazel,7,346,0.02
1922,Jewel,7,59,0.119
1922,Ossie,7,30,0.233
1922,Ruby,7,639,0.011
1922,Louise,6,620,0.01
1922,Allie,5,23,0.217
1922,Beverly,5,15,0.333
1922,Ellie,5,17,0.294
1923,James,2413,16,150.812
1923,William,1583,12,131.917
1923,John,1531,14,109.357
1923,Robert,1168,9,129.778
1923,Willie,1135,580,1.957
1923,George,759,5,151.8
1923,Charles,695,5,139.0
1923,Henry,560,11,50.909
1923,Charlie,369,42,8.786
1923,Walter,342,5,68.4
1923,Eddie,199,46,4.326
1923,Johnnie,176,143,1.231
1923,Clifford,162,14,11.571
1923,Jessie,131,202,0.649
1923,Cecil,109,9,12.111
1923,Jimmie,109,38,2.868
1923,Curtis,100,9,11.111
1923,Lee,99,21,4.714
1923,Marion,95,78,1.218
1923,Clyde,93,21,4.429
1923,Lonnie,76,7,10.857
1923,Bennie,71,26,2.731
1923,Tommie,67,32,2.094
1923,Freddie,51,21,2.429
1923,Johnie,51,12,4.25
1923,Jerry,41,10,4.1
1923,Sidney,40,8,5.0
1923,Francis,38,33,1.152
1923,Sammie,38,9,4.222
1923,Will,35,6,5.833
1923,Ira,34,12,2.833
1923,Leo,27,7,3.857
1923,Billie,26,25,1.04
1923,Odell,18,17,1.059
1923,Bernice,12,148,0.081
1923,Bobbie,12,40,0.3
1923,Ollie,11,78,0.141
1923,Cleo,9,45,0.2
1923,Jewel,8,58,0.138
1923,Jonnie,8,16,0.5
1923,Louise,8,547,0.015
1923,Bonnie,7,65,0.108
1923,Connie,7,9,0.778
1923,Frances,7,496,0.014
1923,Jamie,7,6,1.167
1923,Jewell,7,83,0.084
1923,June,7,35,0.2
1923,Mary,7,2403,0.003
1923,Leslie,6,5,1.2
1923,Claudie,5,19,0.263
1923,Doris,5,423,0.012
1923,Dorothy,5,901,0.006
1923,Ethel,5,272,0.018
1923,Eula,5,133,0.038
1923,Eunice,5,104,0.048
1923,Jackie,5,14,0.357
1923,Mattie,5,430,0.012
1923,Ocie,5,6,0.833
1923,Ozzie,5,7,0.714
1923,Quincy,5,5,1.0
1924,James,2356,16,147.25
1924,William,1576,9,175.111
1924,John,1511,7,215.857
1924,Robert,1109,11,100.818
1924,Willie,1021,496,2.058
1924,Charles,720,8,90.0
1924,George,706,9,78.444
1924,Henry,510,6,85.0
1924,Charlie,411,41,10.024
1924,Walter,367,11,33.364
1924,Frank,326,7,46.571
1924,Edward,314,5,62.8
1924,Joe,251,5,50.2
1924,Johnnie,204,148,1.378
1924,Eddie,171,72,2.375
1924,Clifford,141,17,8.294
1924,Jessie,124,190,0.653
1924,Jimmie,119,49,2.429
1924,Cecil,113,8,14.125
1924,Lee,100,19,5.263
1924,Clyde,94,18,5.222
1924,Marion,94,117,0.803
1924,Bennie,92,22,4.182
1924,Tommie,71,42,1.69
1924,Melvin,64,6,10.667
1924,Lonnie,61,5,12.2
1924,Johnie,44,19,2.316
1924,Freddie,41,27,1.519
1924,Ira,39,12,3.25
1924,Jerry,30,11,2.727
1924,Sammie,29,12,2.417
1924,Billie,28,33,0.848
1924,Francis,28,32,0.875
1924,Louie,27,5,5.4
1924,Bobby,22,8,2.75
1924,Maurice,22,6,3.667
1924,Odell,19,12,1.583
1924,Ollie,17,56,0.304
1924,Bonnie,15,74,0.203
1924,Mary,14,2503,0.006
1924,Theo,11,8,1.375
1924,Bobbie,10,33,0.303
1924,Jonnie,9,7,1.286
1924,Cleo,8,52,0.154
1924,Frances,8,560,0.014
1924,Leslie,8,5,1.6
1924,Otha,8,5,1.6
1924,Thelma,8,286,0.028
1924,Alva,7,6,1.167
1924,Bernice,7,164,0.043
1924,Jewel,7,46,0.152
1924,Jewell,7,74,0.095
1924,Ruby,7,547,0.013
1924,Frankie,6,51,0.118
1924,Hazel,6,345,0.017
1924,Ivory,6,5,1.2
1924,Jackie,6,12,0.5
1924,Lovie,6,8,0.75
1924,Pat,6,5,1.2
1924,Artie,5,9,0.556
1924,Beverly,5,13,0.385
1924,Doris,5,450,0.011
1924,Eunice,5,115,0.043
1925,James,2430,7,347.143
1925,John,1554,9,172.667
1925,William,1552,9,172.444
1925,Willie,1180,544,2.169
1925,Robert,1146,6,191.0
1925,George,734,8,91.75
1925,Henry,558,6,93.0
1925,Charlie,426,53,8.038
1925,Walter,361,9,40.111
1925,Jack,317,6,52.833
1925,Frank,313,7,44.714
1925,Joe,232,13,17.846
1925,Johnnie,219,152,1.441
1925,Ralph,219,5,43.8
1925,Eddie,210,44,4.773
1925,Eugene,195,5,39.0
1925,Arthur,190,7,27.143
1925,Clifford,133,16,8.312
1925,Jimmie,117,73,1.603
1925,Jessie,112,191,0.586
1925,Clyde,105,13,8.077
1925,Cecil,104,5,20.8
1925,Marion,102,112,0.911
1925,Lee,99,23,4.304
1925,Bennie,87,25,3.48
1925,Freddie,68,33,2.061
1925,Lonnie,63,17,3.706
1925,Tommie,59,38,1.553
1925,Jerry,46,9,5.111
1925,Johnie,40,8,5.0
1925,Francis,33,28,1.179
1925,Sammie,32,7,4.571
1925,Billie,31,28,1.107
1925,Ira,30,12,2.5
1925,Sidney,30,5,6.0
1925,Ollie,27,59,0.458
1925,Bobbie,20,42,0.476
1925,Cleo,16,50,0.32
1925,Odell,16,13,1.231
1925,Gene,14,9,1.556
1925,Leslie,12,5,2.4
1925,Bonnie,10,70,0.143
1925,Jewel,9,46,0.196
1925,Mary,9,2556,0.004
1925,Bernice,7,159,0.044
1925,Connie,7,17,0.412
1925,Doris,7,445,0.016
1925,Frankie,7,47,0.149
1925,Hazel,7,322,0.022
1925,Lessie,7,36,0.194
1925,Donnie,6,9,0.667
1925,Eunice,6,128,0.047
1925,Louise,6,505,0.012
1925,Mae,6,131,0.046
1925,Thelma,6,313,0.019
1925,Jackie,5,12,0.417
1925,Jewell,5,77,0.065
1926,James,2249,14,160.643
1926,William,1451,9,161.222
1926,John,1356,10,135.6
1926,Robert,1155,7,165.0
1926,Willie,1082,535,2.022
1926,Charles,713,7,101.857
1926,George,636,12,53.0
1926,Henry,466,10,46.6
1926,Charlie,379,41,9.244
1926,Walter,342,7,48.857
1926,Joe,249,6,41.5
1926,Arthur,200,6,33.333
1926,Eddie,182,43,4.233
1926,Johnnie,171,128,1.336
1926,Eugene,167,6,27.833
1926,Samuel,153,5,30.6
1926,Clifford,136,11,12.364
1926,Jessie,131,198,0.662
1926,Clyde,117,14,8.357
1926,Jimmie,114,61,1.869
1926,Marion,112,102,1.098
1926,Lee,95,21,4.524
1926,Ray,87,7,12.429
1926,Johnny,82,5,16.4
1926,Bobby,77,8,9.625
1926,Tommie,74,45,1.644
1926,Bennie,70,21,3.333
1926,Lonnie,70,10,7.0
1926,Freddie,56,17,3.294
1926,Johnie,46,12,3.833
1926,Jerry,36,5,7.2
1926,Ira,34,6,5.667
1926,Francis,26,30,0.867
1926,Sammie,25,8,3.125
1926,Gene,24,9,2.667
1926,Perry,22,5,4.4
1926,Billie,21,34,0.618
1926,Bobbie,19,57,0.333
1926,Maurice,18,5,3.6
1926,Ollie,18,91,0.198
1926,Odell,14,11,1.273
1926,Mary,13,2376,0.005
1926,Jackie,12,17,0.706
1926,Jewel,12,37,0.324
1926,Jonnie,12,8,1.5
1926,Bonnie,11,59,0.186
1926,Farris,10,5,2.0
1926,Otha,10,6,1.667
1926,Doris,9,467,0.019
1926,Annie,7,908,0.008
1926,Artie,7,5,1.4
1926,Carol,7,15,0.467
1926,Cleo,7,38,0.184
1926,Ruby,7,468,0.015
1926,Alva,6,9,0.667
1926,Bernice,6,165,0.036
1926,Claudie,6,16,0.375
1926,Gussie,6,43,0.14
1926,Jamie,6,8,0.75
1926,Ossie,6,17,0.353
1926,Beverly,5,16,0.312
1926,Carrie,5,209,0.024
1926,Delma,5,8,0.625
1926,Eunice,5,83,0.06
1926,Frankie,5,38,0.132
1926,Jewell,5,56,0.089
1926,Maxie,5,13,0.385
1926,Pearlie,5,37,0.135
1927,James,2384,20,119.2
1927,William,1543,8,192.875
1927,John,1432,7,204.571
1927,Robert,1276,11,116.0
1927,Willie,1114,531,2.098
1927,Charles,868,13,66.769
1927,George,720,8,90.0
1927,Thomas,541,10,54.1
1927,Henry,464,7,66.286
1927,Charlie,361,42,8.595
1927,Walter,361,12,30.083
1927,Edward,300,5,60.0
1927,Joe,261,8,32.625
1927,Albert,250,5,50.0
1927,Johnnie,207,136,1.522
1927,Arthur,202,5,40.4
1927,Eugene,188,6,31.333
1927,Eddie,183,50,3.66
1927,Jessie,138,189,0.73
1927,Clifford,124,9,13.778
1927,Jimmie,121,48,2.521
1927,Marion,113,112,1.009
1927,Johnny,105,10,10.5
1927,Bobby,97,6,16.167
1927,Lee,97,19,5.105
1927,Clyde,81,7,11.571
1927,Bennie,76,17,4.471
